make,model_name,model_details,price,kms,year,transmission,detailsLink,type1,type2,type 3,,,
Toyota,land, Cruiser 4.2 DIESEL 4X4,"295,000","392,800",2005,Manual,https://www.namcars.net/Toyota-Land-Cruiser-4.2-DIESEL-4X4-1400734948,4x4,,,,,
Toyota,land, CRUISER 200 VX 4.5D,"489,900","391,000",2008,Automatic,https://www.namcars.net/Toyota-LAND-CRUISER-200-VX-4.5D-1400734784,,,SUV,,,
Toyota,l/cruiser, 4.2D VX100 A/T,"150,000","360,000",2006,Automatic,https://www.namcars.net/Toyota-L-Cruiser-4.2D-VX100-A-T-1400735104,4x4,,,,,
Toyota,landcruiser, 4.2 LX,"320,000","358,000",2010,Manual,https://www.namcars.net/Toyota-Landcruiser-4.2-LX-1400734517,4x4,,SUV,,,
Toyota,hilux, 2.5 D4D SRX 4x4 Single...,"379,900","346,000",2015,Manual,https://www.namcars.net/Toyota-Hilux-2.5-D4D-SRX-4x4-Single-cab-(Game-Viewer)-1400734584,4x4,,,,,
Volkswagen,transporter, 4MOTION 2.5 TDI,"140,000","342,000",2008,Manual,https://www.namcars.net/Volkswagen-TRANSPORTER-4MOTION-2.5-TDI-1400732272,,,,,,
Toyota,prado, 3.DT  VX  AT,"330,000","340,192",2013,Automatic,https://www.namcars.net/Toyota-Prado-3.DT-VX-AT-1400734859,4x4,,SUV,,,
Toyota,land, Cruiser 100 V8,"219,995","338,000",1998,Automatic,https://www.namcars.net/Toyota-Land-Cruiser-100-V8-1400733969,4x4,,SUV,,,
Volkswagen,amarok, 2.0 BiTdi 132KW HighL...,"240,000","316,000",2014,Manual,https://www.namcars.net/Volkswagen-Amarok-2.0-BiTdi-132KW-HighLine-M-T-4Motion-1400735059,4x4,Bakkie,,,,
Ford,f250, D/C 4X4,"349,900","303,000",2006,Manual,https://www.namcars.net/Ford-F250-D-C-4X4-1400729165,4x4,Bakkie,,,,
Toyota,hilux, Raider 3.0 D-4D P/U M/...,"265,000","300,000",2011,Manual,https://www.namcars.net/Toyota-Hilux-Raider-3.0-D-4D-P-U-M-T-D-C-1400734239,4x4,Bakkie,,,,
Toyota,fortuner, 3.0 D4D 4x4 A/T,"299,900","300,000",2014,Automatic,https://www.namcars.net/Toyota-Fortuner-3.0-D4D-4x4-A-T-1400734904,4x4,,SUV,,,
Land Rover,discovery, 4 3.0 TD/SD V6 SE,"350,000","290,000",2013,Automatic,https://www.namcars.net/Land-Rover-Discovery-4-3.0-TD-SD-V6-SE-1400735079,4x4,,SUV,,,
Isuzu,kb, 250 D-TEQ DCAB 4x2 LE,"239,900","288,000",2015,Manual,https://www.namcars.net/Isuzu-KB-250-D-TEQ-DCAB-4x2-LE-1400733946,,Bakkie,,,,
Ford,ford, Ranger 2.2 XL D/C 4x4,"265,000","274,600",2016,Manual,https://www.namcars.net/Ford-Ford-Ranger-2.2-XL-D-C-4x4-1400729719,4x4,Bakkie,,,,
Mitsubishi,triton, 3.5 V6 4x4 P/U D/C 2010,"199,900","273,000",2010,Manual,https://www.namcars.net/Mitsubishi-Triton-3.5-V6-4x4-P-U-D-C-2010-1400733359,4x4,Bakkie,,,,
Toyota,prado, Vx 3.0 Tdi A/T 4x4 7se...,"354,900","266,000",2012,Automatic,https://www.namcars.net/Toyota-Prado-Vx-3.0-Tdi-A-T-4x4-7seater-1400735065,4x4,,SUV,,,
Audi,a6, AVANT 3.0TDI QUATTRO A/T,"119,900","262,400",2006,Automatic,https://www.namcars.net/Audi-A6-AVANT-3.0TDI-QUATTRO-A-T-1400734646,,,,,,
Volkswagen,amarok, 2.0 BiTi 132KW 4Motio...,"269,000","260,000",2013,Tiptronic,https://www.namcars.net/Volkswagen-Amarok-2.0-BiTi-132KW-4Motion-Auto-1400734987,4x4,Bakkie,,,,
Toyota,fortuner, 3.0 D4D 4X4 MAN,"259,900","260,000",2012,Manual,https://www.namcars.net/Toyota-FORTUNER-3.0-D4D-4X4-MAN-1400732819,4x4,,SUV,,,
Volkswagen,t6, Kombi 2.0 TDI (trendline),"229,000","259,000",2017,Manual,https://www.namcars.net/Volkswagen-T6-Kombi-2.0-TDI-(trendline)-1400735044,,,,,,
Toyota,prado, VX V6,"379,995","256,000",2015,Automatic,https://www.namcars.net/Toyota-Prado-VX-V6-1400734831,4x4,,SUV,,,
